_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,accessible,accessible:confidence,relevant,relevant:confidence,what_is_the_source_of_the_information_communicated_in_this_tweet,what_is_the_source_of_the_information_communicated_in_this_tweet:confidence,accessible_gold,relevant_gold,tweet_link,what_is_the_source_of_the_information_communicated_in_this_tweet_gold
1907563112,false,finalized,3,9/13/2018 02:40:22,false,1.0,,,,,,,https://twitter.com/909546115497852929/status/917989899751522307,
1907563114,false,finalized,3,9/13/2018 03:09:11,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/4828339398/status/917546790282452992,
1907563116,false,finalized,3,9/13/2018 03:45:48,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/152089665/status/917837448423624704,
1907563117,false,finalized,3,9/13/2018 02:08:26,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/225116738/status/917640081342648320,
1907563118,false,finalized,3,9/13/2018 01:35:26,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/4300280902/status/917872944206024704,
1907563119,false,finalized,3,9/13/2018 02:04:50,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/851721932978372608/status/918481514551218177,
1907563120,false,finalized,3,9/13/2018 02:59:12,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/2238183656/status/917871663513038849,
1907563121,false,finalized,4,9/13/2018 01:08:15,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/57976284/status/917988150030499842,
1907563122,false,finalized,3,9/13/2018 02:49:35,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/217921981/status/917825234392281089,
1907563123,false,finalized,4,9/13/2018 02:47:31,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/906147447201726464/status/917915301341167616,
1907563124,false,finalized,3,9/13/2018 03:18:12,false,1.0,,,,,,,https://twitter.com/917539755100856320/status/917539915688140800,
1907563125,false,finalized,3,9/13/2018 03:18:25,true,1.0,false,0.6638,,0,,,https://twitter.com/3346224705/status/917850022330462210,
1907563126,false,finalized,4,9/13/2018 02:50:04,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/2783360521/status/917394044338106368,
1907563128,false,finalized,3,9/13/2018 01:17:50,false,1.0,,,,,,,https://twitter.com/32565005/status/917352789637988352,
1907563129,false,finalized,3,9/13/2018 01:45:59,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/758669826/status/917990923132456960,
1907563130,false,finalized,3,9/13/2018 02:59:13,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/1406689418/status/917462513326813184,
1907563131,false,finalized,3,9/13/2018 02:23:43,true,1.0,true,1.0,"Information originating from eyewitnesses of the event or of response/recovery operations, or from their family, friends, neighbors, etc.",0.6729,,,https://twitter.com/2330790024/status/917865608531677184,
1907563132,false,finalized,3,9/13/2018 03:42:58,true,1.0,false,0.6667,,0,,,https://twitter.com/63151966/status/918204646191181825,
1907563133,false,finalized,3,9/13/2018 02:55:58,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/906225484861767680/status/917945418788548608,
1907563134,false,finalized,4,9/13/2018 01:46:13,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/29492397/status/918266408391380992,
1907563135,false,finalized,3,9/13/2018 02:08:31,true,1.0,true,1.0,"Information originating from eyewitnesses of the event or of response/recovery operations, or from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/1372843706/status/918234502350213120,
1907563136,false,finalized,3,9/13/2018 03:16:40,false,1.0,,,,,,,https://twitter.com/3723051974/status/917544688059523072,
1907563137,false,finalized,3,9/13/2018 01:35:24,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/822248094876086272/status/917476049482477568,
1907563138,false,finalized,3,9/13/2018 01:37:17,false,1.0,,,,,,,https://twitter.com/27546536/status/917705698091421696,
1907563139,false,finalized,3,9/13/2018 02:12:27,true,1.0,true,0.6658,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",0.6658,,,https://twitter.com/2785604317/status/918212705164648449,
1907563140,false,finalized,4,9/13/2018 00:59:07,true,1.0,false,1.0,,,,,https://twitter.com/784158680308604928/status/917762456822235138,
1907563141,false,finalized,3,9/13/2018 02:49:00,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/827246630873100288/status/917992019410202624,
1907563142,false,finalized,3,9/13/2018 04:18:18,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/271808670/status/917748085320814592,
1907563143,false,finalized,4,9/13/2018 01:44:31,false,1.0,,,,,,,https://twitter.com/234240286/status/917505412651352067,
1907563144,false,finalized,4,9/13/2018 01:48:01,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/892211911495778305/status/917451120183611392,
1907563145,false,finalized,3,9/13/2018 02:53:17,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/877603622917464065/status/917887270249746432,
1907563146,false,finalized,3,9/13/2018 03:11:46,false,1.0,,,,,,,https://twitter.com/909546115497852929/status/918518690890571776,
1907563147,false,finalized,3,9/13/2018 04:18:18,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/749249196/status/918212970072674305,
1907563148,false,finalized,4,9/13/2018 01:44:31,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/348087835/status/918261879188832256,
1907563149,false,finalized,3,9/13/2018 03:43:02,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/702701795965956096/status/918257035149545477,
1907563150,false,finalized,3,9/13/2018 02:08:26,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/18666183/status/918147275271979009,
1907563151,false,finalized,4,9/13/2018 01:37:00,false,1.0,,,,,,,https://twitter.com/2651424787/status/918211511276974082,
1907563153,false,finalized,3,9/13/2018 03:39:51,false,1.0,,,,,,,https://twitter.com/902272025405874176/status/918499114479996929,
1907563154,false,finalized,3,9/13/2018 04:12:13,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/1917260250/status/918505834069544966,
1907563155,false,finalized,3,9/13/2018 03:49:24,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/331230978/status/918460994514333696,
1907563156,false,finalized,3,9/13/2018 03:31:16,true,1.0,true,0.6638,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",0.6638,,,https://twitter.com/2740939850/status/917743645842989056,
1907563157,false,finalized,3,9/13/2018 03:04:57,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/116507597/status/917815122399199232,
1907563158,false,finalized,3,9/13/2018 02:32:57,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/627098613/status/917467753266610176,
1907563159,false,finalized,3,9/13/2018 01:23:11,false,1.0,,,,,,,https://twitter.com/865034885219495936/status/917581266853052416,
1907563160,false,finalized,3,9/13/2018 02:47:11,false,1.0,,,,,,,https://twitter.com/891725092597772288/status/917458290090618881,
1907563161,false,finalized,3,9/13/2018 02:49:35,false,1.0,,,,,,,https://twitter.com/909546115497852929/status/917748646023659524,
1907563162,false,finalized,3,9/13/2018 03:14:03,false,1.0,,,,,,,https://twitter.com/23385377/status/918483915228307461,
