id,tweet,label
1907563114,RT @bri_sacks: At least 10 people are dead and more than 1 500 structures destroyed as over a dozen wildfires tear through California https_Ñ_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1907563116,WhiteHouse: https://t.co/RQstuYbOEi - Remarks by Vice President Mike Pence After Briefing on California Wildfires,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1907563117,I liked a @YouTube video https://t.co/WYrYLatM1i _Ò€ RAW VIDEO - Are California Wildfires Today an Arsonist Attack? Multiple fires,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1907563118,RT @lopezgovlaw: #Video #News via #CNN: Death toll climbs to 15 as wildfires scorch CA | https://t.co/HuSay9pwYH https://t.co/zuUNWfTriL,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1907563119,RT NatGeo These are the powerful images emerging from Northern California  where 22 wildfires have spread since Su_Ñ_ https://t.co/bsZwAduBrS,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1907563120,WeatherCenterHQ : Very unhealthy air quality in the SF Bay Area as smoke billows from deadly wildfires tearing acr_Ñ_ https://t.co/KOPKMQkd9U,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1907563121,Philadelphia trends now: Wine Country  Country  Deadly California  California Wildfires  Weinstein. https://t.co/sHJvU9nBuj,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1907563122,RT @wsyx6: #BREAKING: Officials say more than 2 000 homes and businesses destroyed  13 dead in California wine country wildfires. - @AP,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1907563123,Re-entry to evacuated areas in Anaheim  CA will happen at 7pm after fires. Liveblog:  https://t.co/Ixy0CfUjY7https://t.co/HJLFyK5cPa,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1907563126,RT @Zhirji28: Wondering about the smell of charred wood on your SF commute? Massive wildfires in Napa  Sonoma counties: https://t.co/bA6sHH_Ñ_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1907563129,17 people are dead from the wildfires in California and more than 100 people are being treated for burns at surrounding hospitals.,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1907563130,RT @FOX10NewsNow: UPDATE: Wildfires have burned over 35K acres in  California; Gov. Brown declares state of emergency. LIVE VIDEO: https://_Ñ_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1907563131,(Fighting off a headache. The air quality is not the best because of the number of wildfires in this area.),Information originating from eyewitnesses of the event or of response/recovery operations  or from their family  friends  neighbors  etc.
1907563133,New post (At Least 15 Dead As California Wildfires Rage On | NBC Nightly News) has been published on BuzzyBuzz -_Ñ_ https://t.co/yYv7KSwYdU,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1907563134,@realDonaldTrump ***2000 homes  have burned *** in California! Have you said/done anything about the wildfires?,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1907563135,Announcement: Air quality in our area remains unsafe due to Napa/Sonoma Wildfires. For all our_Ñ_ https://t.co/Kga6zQDDMh,Information originating from eyewitnesses of the event or of response/recovery operations  or from their family  friends  neighbors  etc.
1907563137,New post (California wildfires scorch Sonoma and Napa counties) has been published on News Live Today -_Ñ_ https://t.co/zFe3FNWLL7,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1907563139,Study casts doubt on warming implications of brown carbon aerosol from wildfires via @bioengineers https://t.co/cuQzRpherp,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1907563141,RT @QSiegfried: Just crazy 'This is just pure devastation': Wildfires leave chimneys  charred cars in their wakehttps://t.co/2sXYNJ6bRT,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1907563142,Our Newest Story (Hospitals evacuated as wildfires spread) is being shared on Online News Gazette -_Ñ_ https://t.co/8xA2pxfGFh,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1907563144,RT @SpeedyOB6404: Over 1500 structures destroyed  dozens of injuries and dozens more missing now reported. #napafire #wildfires #calistogaf_Ñ_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1907563145,RT @channeltennews: DEADLY BLAZE: Extra firefighters travel to northern California to battle  wildfires that have claimed 15 lives and 2 00_Ñ_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1907563147,A couple who recently celebrated their 75th wedding anniversary are among the 21 dead in some of California's worst-ever wildfires.,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1907563148,RT @kellytechnology: From #ScienceNow - Wildfires in California Not Slowing Down || #NASA #wildfires https://t.co/CAgo_Ñ_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1907563149,I liked a @YouTube video https://t.co/C0TV2xbGm2 LIVE: WILDFIRES Outspreading in California  EVACUATION in SONOMA  NAPA Country Wild,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1907563150,RT @ChadPergram: Pelosi says Dems pleased new disaster relief pkg ads $1b for hurricanes & now CA wildfires. Says "more still remains to be_Ñ_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1907563154,RT @STVNews: Husband  100  and wife  98  who had been married 75 years among victims of devastating California wildfireshttps://t.co/KXb19_Ñ_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1907563155,Wildfires remain almost completely uncontained in California's wine country  with 23 dead and hundreds missing https://t.co/DE6V3bVhY3,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1907563156,RT @jr9t5: Prayers for Cardinal Newman HS in Santa Rosa  CA destroyed by wildfires. @JP2_athletics @JP2scilab @JPIIteachers @NCEATALK,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1907563157,RT @Channel2News: CNN correspondent @miguelmarquez spoke to @LeviYonit from the site of massive wildfires in California https://t.co/mRa7Sm_Ñ_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1907563158,RT @StephenStockTV: Sonoma State University suspends classes for the day because of ongoing wildfires WATCH LIVESTREAMING @nbcbayarea  http_Ñ_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1907563163,RT @fxp123: Update: Death toll climbs to 10 as Wine Country wildfires rage -- containment minimal - The Mercury News https://t.co/ojDxMZVjyo,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1907563166,Sutter County Fire victims who have lost their birth  death  and marriage documents as a result of the wildfires... https://t.co/lUgSjbvT66,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1907563168,RT @FrancesWangTV: HAPPENING NOW: Update from @Cal_OES officials on the state of California wildfires.,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1907563170,WATCH: Timelapse video shows destruction in Fountain Grove and Coffey Park from wildfires. https://t.co/bW19dvFR1k,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
