id,tweet,label
1648638385,RT @ReedTimmerAccu: Another dangerous #tornado warned storm is heading toward Dumas  MS in the next 15 min! Take shelter now! @breakingweatäó_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1648638387,My girl who is an RN/Volunteer has been helping 24/7 since the storm hit. It's still raining. TX needs help. People still need rescuing.,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1648638388,RT @KUTnathan: More than 12K @austinenergy customers without power now according to their map https://t.co/Xkeam0mIFV #Harvey https://t.co/äó_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1648638391,RT @jsmccullou: 3 Texas prisons are now being evacuated near Houston as the nearby river rises. #HurricaneHarvey #Harvey https://t.co/gEaZtäó_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1648638392,Now accepting donations for the victims of hurricane Harvey. ,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1648638393,JUST IN: Air quality advisory for Metro Vancouver and the Fraser Valley has been cancelled; was issued Tuesday due to wildfire smoke from US,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1648638394,RT julieturkewitz: Just arrived in Sienna Plantation  Texas  where a tornado touched down last night. Damage to some 50 homes. Wind isäó_ äó_,Information originating from eyewitnesses of the event or of response/recovery operations  or from their family  friends  neighbors  etc.
1648638395,#LakewoodChurch at 11PM now. There's water on the roads and that area floods easily even when it rains normally witäó_ https://t.co/pveFq7Bfxa,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1648638397,As of now  NO ganado is not under evacuation!!! https://t.co/nuL9viGfQH,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1648638398,RT @ReedTimmerAccu: Major devastation in Holiday Beach  TX just north of Rockport  TX worst yet we have seen from #Harvey @breakingweatheräó_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1648638399,RT @branflakez: Just donated to them and have before. #HurricaneHarvey https://t.co/cSnImpJQ04,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1648638401,Potential Tornado Just SE of Clark Moving N At 25 MPH. Mobile Homes May Be Damaged. Damage to Roofs... #alwx #news https://t.co/Ly9SOJXfj7,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1648638402,Have you seen the lastest high water locations via @houstontranstar? Right now there are 342 blue markers on the maäó_ https://t.co/CkrrdZFNeN,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1648638403,_ôÍ¿% URGENTA CHURCH IS GOING UNDER N NEW CANEY  TXI NEED BOATS ASAPI HAVE BEEN ASKED BY A LIEUTENANT 2 LOCATE THESE ITS URGENT 512-739-7668,Information originating from eyewitnesses of the event or of response/recovery operations  or from their family  friends  neighbors  etc.
1648638405,RT @reportermatt: More info on reports regarding the Rockport high school: A gym collapsed. I can't discern scale of damage from pictures Iäó_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1648638406,People  please stay at home! A car just crashed onto the lawn at my apt complex  nearly hitting a huge tree & homes! #harvey,Information originating from eyewitnesses of the event or of response/recovery operations  or from their family  friends  neighbors  etc.
1648638409,RT @GhostOfQC44: Summary - donate money  blood  time. Right now  the shortage of items is not pressing. https://t.co/F8FvKL1UPO,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1648638410,@tas0727 For my friends..as you know I'm in Orange  TX with my Mom. We were rescued Tuesday 3:30 am with 3 ft of water in the house.,Information originating from eyewitnesses of the event or of response/recovery operations  or from their family  friends  neighbors  etc.
1648638411,RT @MZGreenOfficial: Reminder Texas: Alligators are just misplaced. Leave them until the water recedes. _ô_î #Harvey #TexasStrong https://t.coäó_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1648638413,The American Red Cross is heading out to Louisiana and Texas to help victims of now Tropical Storm Harvey https://t.co/S9di2tad4r,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1648638415,#Harvey is now at Cat. 1 hurricane but it's still packing a powerful & dangerous punch. @JillSzwedWx is up next with the latest update.,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1648638419,RT @MikeAdcockWx: Recon is heading back to Keesler AFB. Mission 21 will be cancelled now that Hurricane #Harvey has made landfall. https://äó_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1648638420,RT @HellerWeather: Red dots indicate which bayous are flooding right now. Expect flooding to get worse overnight. #houwx #Harvey https://t.äó_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1648638421,RT @RepThierry146: Out delivering food  water  & supplies to my most vulnerable constituents before #Harvey lands. #TeamThierry #Deliveringäó_,Information originating from eyewitnesses of the event or of response/recovery operations  or from their family  friends  neighbors  etc.
