id,tweet,label
1875540566,RT @SarahDillingham: 2(2) @FLGovScott: if U can house someone or need help  go to https://t.co/ZYn4vESAB2 or call state emergency hotline a‰Û_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540567,RT @ABC: Video shows massive traffic jam on the Florida Turnpike as people attempt to flee Hurricane #Irma. https://t.co/B0LsaqyT7g https:/‰Û_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540569,RT @CNN: JUST IN: #Irma forecast to make landfall as a Category 5 hurricane; @NWSKeyWest tweets "AS REAL AS IT GETS" https://t.co/TYOyteDZt‰Û_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540571,RT @philklotzbach: #Irma has officially made landfall in Cuba as a Cat. 5 - the 1st Cat. 5 hurricane to make landfall in Cuba since 1924. h‰Û_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540572,RT @NASA_SPoRT: Updated evolution of Hurricane #Irma's eye. Each quadrant contains a 30-minute loop of #GOES16 visible imagery from each of‰Û_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540573,RT @CNN: No storm on record  anywhere on the globe  has maintained winds 185mph or above for as long as #Irma https://t.co/djNDAo1WQ6 https‰Û_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540574,RT @IanMargol: The Local 10 #CareForce is looking for supplies  other items for #Irma victims. Here‰Ûªs when & where to donate https://t.co/Q‰Û_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540575,RT @jaketapper: Death toll from #Irma now 24. Still a category 4 storm  winds at 155 mph. Tonight Irma skirts N coast of Cuba  expected to‰Û_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540577,RT @wmbbjustin: #Irma latest from NHC. ..west shift continues @WMBBTV https://t.co/PrVChxxLTB,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540579,RT @NYPDSpecialops: While deployed to the #Irma rescue efforts in Puerto Rico the members of NY-TF1 remember the heros lost on September 11‰Û_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540580,RT @insideFPL: We urge our customers to prepare for extended power outages  as approx. 4.1 million customers may lose power as a result of‰Û_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540581,RT @greenpeaceusa: #Harvey and #Irma need to be a wake-up call for people everywhere ‰Û¥ climate denial is lethal. https://t.co/UbgZJDRG54,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540582,RT @NWS: .@NHC_Atlantic is forecasting 6 to 12 feet of storm surge from #Irma https://t.co/plqh9cosO0,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540583,RT @UNFCCC: #Irma is passing over abnormally hot ocean water - a result of #climatechange - and is extracting strength from the heat https:‰Û_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540585,RT @DrRickKnabb: Mandatory evacuation for Collier County  Fla - the Naples area - for areas west and south of US 41. Evacuate as @CollierEM‰Û_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540586,RT @philklotzbach: #Harvey  #Irma and #Jose all reached Cat. 4+ status - 1st time on record 3 consecutive Atlantic named storms have reache‰Û_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540587,CNN: Florida property insurance stocks have gotten hammered this week as #Irma threatens to unleash catastrophic d‰Û_ https://t.co/f8RNeBPdVv,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540590,RT @ReedTimmerAccu: Beautiful sunset in the FL Keys ahead of dangerous Hurricane #Irma with orange low level clouds passing quickly from no‰Û_,Information originating from eyewitnesses of the event or of response/recovery operations  or from their family  friends  neighbors  etc.
1875540592,RT @RyanMaue: NWS forecast for "sustained wind speeds" from Hurricane #Irma120-130 mph from Florida Keys to Naples 55 mph Miami / Fort La‰Û_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540593,RT @Corrynmb: Hurricane #Irma has just made landfall in Cuba as a Category 5 storm. Praying for Cuba _Ùªè_ÙèÈ https://t.co/QOhGYQ4L2x,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540594,RT @WilliamsJon: Truly staggering image: Hurricanes #Katia making landfall in #Mexico  #Irma in #Cuba as #Jose builds in #Caribbean. https‰Û_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540595,RT @NHC_Atlantic: Hurricane #Irma Advisory 40: Irma Making Landfall On the Camaguey Archipelago of Cuba as A Category 5 Hurricane. https://‰Û_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540596,RT @CGTNOfficial: #BREAKING Hurricane #Irma makes landfall in Cuba as a Category 5 storm  says US National Hurricane Center https://t.co/fb‰Û_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540600,RT @HouseCracka: Now the "expert" on the beach wants to get rid of the saffir-simpson scale. @NASCARNAC #Irma https://t.co/4eLMemiQ4s,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540601,Retweeted CNN (@CNN):Hurricane #Irma offers a first real test of Florida's post-Andrew emergency plan... https://t.co/XM7WzYT5an,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540602,RT @DrRickKnabb: #Irma could cross Florida Keys as cat 4/5 and make landfall on Florida peninsula as cat 4/5. Let that sink in a sec. Then‰Û_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540605,RT @ScottFisherFOX7: Scott Fisher Says: Tracking Irma. #Irma https://t.co/Nt9JsdIlE4,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540606,RT @philklotzbach: Currently have 3 Atlantic hurricanes with 90+ mph winds - only 4th time on record in Atlantic this has occurred.  #Irma‰Û_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540608,RT @jwhittalTWN: By 11 pm NHC update it may be Cat  5 again.  #Irma currently making landfall over N. Cuba @TheWeatherNetUS @weathernetwork‰Û_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540609,RT @AlertTampa: Alright team looks more like #Irma might be our storm. Hurricane Warning in effect @CityofTampa. 1 more day to execute our‰Û_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540611,RT @BethRitterGuth: @th3j35t3r Florida brigades need programmers to help prepare #Irma disaster relief.  Please spread the good word? https‰Û_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540612,RT @simongerman600: Satellite imagery shows how #hurricane #Irma destroyed #vegetation on Caribbean islands. https://t.co/ToR18VgIeF,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540614,RT @briggsoto: #irma bvi real time https://t.co/mQaOrasHiD,Information originating from eyewitnesses of the event or of response/recovery operations  or from their family  friends  neighbors  etc.
1875540615,RT @NinaHarrelsonTV: WATCH: Man gives away his generator - the last one - after realizing this lady's dad is on oxygen & needed it. #Irma h‰Û_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540616,RT @wtocjamie: A #FirstAlertWx Flood Watch for south of the Altamaha.  Some cities could get 11" of rain Sun-Mon night from #Irma. https://‰Û_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540617,RT @simpsonwhnt: #Irma back to Category 5 intensity as it moves into Cuba tonight. https://t.co/G00DgSm0qm,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540620,RT @WeatherNation: CHECK OUT THE TRACK - The latest forecast for Hurricane #Irma from the @NHC_Atlantic covers almost the entire state of F‰Û_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540621,RT @NWSTampaBay: Check out this image showing #Irma max wind gusts from @NOAASatellites! See https://t.co/AcecrHeKuY for more info! #flwx h‰Û_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540622,RT @NHC_Atlantic: Hurricane #Irma Advisory 39A: Irma'S Southwestern Eyewall Moving Over the North Coast Of Cuba. https://t.co/VqHn0uj6EM,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540624,RT @HuricaneIrma: #Irma Shelter info! Pls retweet  send far and wide! WE'RE NOT DONE YET - #ANGELS NEEDED https://t.co/Onkjwoo5P4,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540626,RT @RoyalNavy: HMS Ocean's chaplain  crew & members of @ColdstreamGds help to provide gifts for kids affected by Hurricane #Irma https://t.‰Û_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540627,Thank you @HomeDepot for taking care of #keywest store employees with 40 HR paychecks during #irma evac. #greatemployer,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540628,RT @JimCantore: Incredible!! https://t.co/WDE1SsP9Q0,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540629,RT @RyanMaue: NWS forecast has sustained winds of 100 mph in Tampa w/gusts to 125 mph from Hurricane #Irma.  Are folks aware of this?,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540630,RT @NHC_Atlantic: Key Messages for #Hurricane #Irma Advisory 40. More: https://t.co/tW4KeGdBFb https://t.co/sKiFe4go5s,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540631,#Chased by #Irma  #Floridians #Endure #Arduous #Journeys to s... - https://t.co/n3j53wPyTK - #Topstories https://t.co/6O9IJy3Vus,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540632,RT @daynavettese: Devastating situation unfolding for the Jardines del Rey archipelago  Cuba  taking a direct hit from #Irma's eye tonight.‰Û_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540633,RT @philklotzbach: #Irma has now generated more Accumulated Cyclone Energy than 15 entire Atlantic hurricane seasons in the satellite era (‰Û_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540634,RT @GodlessNZ: RT Key #Irma_ÙÎ_‰_ö•üè accounts: FL @FLGovScott @FLSERT GA @GovernorDeal @GeorgiaEMA SC @HenryMcMaster @SCEMD @FEMA @USCG @‰Û_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540636,RT @ABC: 94-year-old grandmother is overjoyed when a group of police officers drops off hurricane supplies for #Irma. https://t.co/6v6Y5Wwk‰Û_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540637,RT @RyanMaue: Hurricane #Irma back to Category 5 as aircraft recon and satellite imagery seemingly agree that storm ramped up.,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540638,RT @NWSMiami: 9/8: 11PM Tropical Update: Hurricane #Irma strengthens to a Category 5 Hurricane #FLwx https://t.co/wy2d0d75x6,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540639,RT @NicoleForbis: BREAKING #IrmaA STATE of EMERGENCY has officially been declared for the entire state of Florida. Plan NOW.... https://t.‰Û_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540640,RT @RyanMaue: GFS model has a Category 5 landfall over the Everglades keeping Naples on west side of eyewall.   Hurricane #Irma https://t.‰Û_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
1875540641,RT @RyanMaue: A landfall of any global tropical cyclone of Category 5 strength is rare/infrequent.  Hurricane #Irma will officially in Cuba‰Û_,Information not originating from eyewitnesses of the event or of response/recovery operations  nor from their family  friends  neighbors  etc.
